city,lng_min,lng_max
Acqui Terme,8.46,8.55
Acri,16.38,16.55
Ács,18.01,18.13
Acton,-0.27,-0.11
Acton Vale,-72.56,-72.38
Actopan,-98.93,-98.81
Açu,-36.9,-36.79
Açuã,-41.08,-40.94
Açucena,-42.54,-42.53
Acuítzio del Canje,-101.33,-101.25
Acula,-95.78,-95.69
Acushnet,-70.9,-70.87
Acworth,-84.67,-84.58
Ada,20.12,20.29
Adachi,139.8,139.9
Adamantina,-51.07,-50.98
Adams,-80.01,-79.83
Adamstown,-130.08,-130.06
Adana,35.32,35.35
Adassil,-8.48,-8.35
Ādaži,24.32,24.43
Aḑ Ḑab‘ah,28.43,28.44
Ad Dakhla,-15.93,-15.89
Aḑ Ḑāli‘,44.73,44.74
Ad Dammām,50.1,50.12
Addanki,79.97,80.06
Ad Darwa,-7.53,-7.47
Ad Dir‘īyah,46.57,46.72
Addis,-91.26,-91.25
Addis Ababa,38.73,38.76
Ad Dīs ash Sharqīyah,49.86,50.0
Addison,-88.0,-87.93
Ad Dīwānīyah,44.92,45.08
Ad Diwem,32.29,32.47
Addlestone,-0.49,-0.45
Ad Duraykīsh,36.13,36.19
Adeje,-16.71,-16.54
Adel,-1.58,-1.46
Adelaide,138.6,138.68
Adelaide River,131.1,131.29
Adelanto,-117.43,-117.37
Adelebsen,9.75,9.82
Adelfia,16.86,16.87
Adelphi,-76.96,-76.76
Adelsdorf,10.89,11.02
Aden,45.03,45.1
Adendorf,10.45,10.56
Ādēt,37.48,37.56
Ādīgrat,39.47,39.58
Adi Keyh,39.36,39.41
Adilābād,78.53,78.68
Adis,-7.98,-7.94
Adıyaman,38.27,38.46
Adjala-Tosorontio,-79.93,-79.9
Adjud,27.17,27.22
Adjumani,31.8,31.83
Adligenswil,8.36,8.48
Adlington,-2.59,-2.49
Adliswil,8.52,8.53
Admont,14.46,14.57
Ado-Ekiti,5.21,5.35
Ādoni,77.28,77.33
Adra,-3.01,-2.84
‘Adrā,36.51,36.61
Adrano,14.83,15.01
Adrar,-0.29,-0.25
Adria,12.05,12.23
Adrian,-84.04,-83.99
Adrianópolis,-48.99,-48.94
Adro,9.96,10.06
Adrogue,-58.38,-58.22
Adustina,-38.1,-37.97
Adwick le Street,-1.19,-1.08
Adygeysk,39.19,39.26
Aerzen,9.26,9.43
Aesch,7.59,7.78
Äetsä,22.69,22.74
Afega,-171.85,-171.69
Affing,10.98,10.99
Affoltern am Albis,8.45,8.56
Affton,-90.32,-90.26
Afir,3.7,3.89
Aflao,1.19,1.29
Afogados da Ingazeira,-37.63,-37.56
Afonso Bezerra,-36.5,-36.39
Afonso Cláudio,-41.12,-41.01
Afonso Cunha,-43.32,-43.17
Afourar,-6.54,-6.53
Afragola,14.31,14.46
Afrânio,-41.0,-40.8
Afuá,-50.38,-50.31
Afula,35.28,35.33
Afumaţi,26.24,26.33
Afyonkarahisar,30.53,30.71
Agadez,7.98,8.03
Agadir,-9.58,-9.45
Agadir Melloul,-7.79,-7.76
Agago,33.33,33.36
Agan,103.84,103.9
Agapa,89.25,89.37
Agapovka,59.13,59.14
Agareb,10.52,10.59
Agartala,91.26,91.43
Agawam,-72.65,-72.48
Agboville,-4.21,-4.11
Ağcabədi,47.45,47.45
Agcogon,121.93,122.06
Ağdam,46.91,47.05
Agdangan,121.91,121.97
Ağdaş,47.48,47.48
Agde,3.47,3.51
Ağdərə,46.81,46.81
Agdz,-6.44,-6.26
Agen,0.62,0.65
Ageoshimo,139.59,139.67
Agerola,14.55,14.7
Aghbal,-2.14,-2.04
Aghbala,-5.64,-5.5
Aghbalou Aqourar,-4.73,-4.71
Aghbalou n’Kerdous,-5.31,-5.28
Aghbar,-6.81,-6.62
Agía Paraskeví,23.82,23.99
Agidel,53.93,54.1
Aginskoye,114.52,114.59
Ágios Athanásios,33.05,33.19
Agira,14.51,14.59
Agliana,11.0,11.17
Aglipay,121.58,121.62
Aglona,27.01,27.08
Agnita,24.61,24.64
Agno,119.8,119.91
Agnone,14.37,14.38
Agoncillo,120.92,121.02
Agoo,120.36,120.45
Agoura Hills,-118.76,-118.65
Agourai,-5.58,-5.44
Āgra,78.02,78.16
Agramunt,1.09,1.23
Agrate Brianza,9.35,9.49
Agrestina,-35.95,-35.86
Ağrı,43.05,43.15
Agriá,23.01,23.11
Agricolândia,-42.66,-42.58
Agrigento,13.57,13.64
Agrínio,21.4,21.52
Agropoli,14.98,15.13
Agryz,52.98,53.01
Ağstafa,45.45,45.6
Ağsu,48.39,48.55
Água Azul do Norte,-50.46,-50.42
Agua Blanca,-89.64,-89.47
Agua Blanca Iturbide,-98.35,-98.3
Água Boa,-42.38,-42.22
Água Branca,-37.93,-37.75
Agua Caliente,-89.21,-89.13
Aguachica,-73.61,-73.53
Água Clara,-52.86,-52.78
Aguadas,-75.45,-75.42
Agua de Dios,-74.66,-74.52
Aguadilla,-67.15,-67.03
Água Doce,-51.55,-51.41
Água Fria,-38.76,-38.67
Aguaí,-46.97,-46.85
Agualva,-9.29,-9.24
Água Preta,-35.35,-35.26
Agua Prieta,-109.54,-109.49
Águas Belas,-37.11,-37.01
Aguascalientes,-102.29,-102.25
Águas da Prata,-46.71,-46.62
Águas de Chapecó,-52.98,-52.8
Águas de Lindóia,-46.63,-46.53
Águas Formosas,-40.93,-40.75
Águas Mornas,-48.82,-48.79
Águas Vermelhas,-41.46,-41.35
Aguazul,-72.54,-72.44
Agudo,-53.24,-53.22
Agudos,-48.98,-48.83
Agudos do Sul,-49.33,-49.28
Aguelhok,0.85,0.86
Aguelmous,-5.83,-5.78
Águia Branca,-40.74,-40.69
Aguiar,-38.24,-38.08
Aguiar da Beira,-7.54,-7.53
Aguiarnópolis,-47.46,-47.4
Aguilar,120.23,120.23
Águilas,-1.58,-1.44
Aguinaldo,121.46,121.64
Agustín Codazzi,-73.23,-73.11
Agutaya,120.93,121.01
Ahar,47.06,47.18
Ahaus,7.01,7.17
Ahfir,-2.1,-2.0
Ahlaf,-7.2,-7.03
Ahlen,7.89,7.89
Ahlerstedt,9.45,9.58
Ahmadnagar,74.73,74.85
Ahmadpur East,71.26,71.42
Ahmedabad,72.58,72.58
Ahram,51.27,51.27
Ahrarne,34.05,34.21
Ahrensbök,10.58,10.7
Ahrensburg,10.24,10.29
Ahrensfelde,13.57,13.57
Ähtäri,24.06,24.25
Ahuacatlán,-104.48,-104.4
Ahuachapán,-89.84,-89.69
Ahualulco de Mercado,-103.95,-103.92
Ahuimanu,-157.84,-157.79
Ahumada,-106.51,-106.43
Ahvāz,48.66,48.68
Aībak,68.03,68.11
Aibonito,-66.26,-66.09
Aich,9.23,9.39
Aichach,11.13,11.17
Aidlingen,8.89,9.02
Aiea,-157.92,-157.77
Aiffres,-0.41,-0.24
Aígina,23.42,23.56
Aigle,6.96,7.15
Aiguá,-54.75,-54.68
Aigues-Mortes,4.19,4.27
Aihua,100.13,100.29
Aiken,-81.72,-81.7
Ailan Mubage,81.31,81.35
Aileu,125.56,125.71
Aimargues,4.2,4.34
Aimorés,-41.06,-40.9
’Aïn Abessa,5.29,5.46
Ain Aicha,-4.7,-4.64
’Aïn Arnat,5.31,5.37
Ainaro,125.5,125.56
’Aïn Azel,5.52,5.57
Ain Beida,-8.6,-8.51
Ain Bida,-4.89,-4.78
Aïn Cheggag,-5.03,-4.96
Aïn Defla,1.95,2.04
Aïne Draham,8.69,8.74
Ain El Aouda,-6.79,-6.65
’Aïn el Hammam,4.3,4.35
Aïn Harrouda,-7.44,-7.34
Aïn Jemaa,-5.79,-5.76
Ain Kansara,-4.83,-4.64
Ain Legdah,-4.5,-4.33
Ain Lehjer,-2.37,-2.32
’Aïn Leuh,-5.38,-5.25
Aïn Mediouna,-4.55,-4.36
Aïn Oussera,2.9,3.02
Ainring,12.94,12.94
’Aïn Roua,5.18,5.27
Ainsdale,-3.04,-2.88
Aïn Sefra,-0.58,-0.53
Aïn Taoujdat,-5.21,-5.02
Aïn Temouchent,-1.13,-1.0
Aintree,-2.93,-2.9
Aïn Zaouïa,3.89,3.99
Aïn Zora,-3.53,-3.41
Aioi,134.46,134.5
Aioun,-9.61,-9.54
Aipe,-75.23,-75.21
Aiquile,-65.16,-65.13
Airdrie,-114.01,-113.81
Aire-sur-l’Adour,-0.26,-0.17
Aire-sur-la-Lys,2.39,2.54
Air Force Academy,-104.86,-104.68
Airmont,-74.09,-74.05
Airola,14.55,14.74
Airway Heights,-117.57,-117.41
Aisai,136.73,136.77
Ait Ali,-9.48,-9.43
Ait Ali Mimoune,-5.78,-5.72
Ait Amar,-5.06,-5.02
Aït Athmane,-5.52,-5.43
Ait Ban,-9.15,-9.05
Ait Ben Daoudi,-7.64,-7.46
Aït Bouchta,-3.83,-3.76
Aït Bou Madhi,4.2,4.32
Ait Bousarane,-7.09,-6.99
Aït el Farsi,-5.3,-5.27
Aït Faska,-7.71,-7.68
Aït Hadi,-8.77,-8.75
Ait Hammou,-8.17,-8.11
Aït Hani,-5.57,-5.53
Ait Ikkou,-5.65,-5.57
Aït Majdane,-6.96,-6.82
Ait Melloul,-9.49,-9.37
Aït Ouakrim,-9.24,-9.17
Aït Ouaoumana,-5.8,-5.76
Ait Ourir,-7.66,-7.57
Ait Said,-9.43,-9.24
Aït Tagalla,-6.71,-6.64
Aït Tamlil,-6.94,-6.85
Ait Yaazem,-5.58,-5.52
Aït Yaïch,4.33,4.49
Ait Yazza,-8.79,-8.7
Aït Youssef Ou Ali,-5.78,-5.69
Aiuaba,-40.12,-40.11
Aiud,23.71,23.73
Aiuruoca,-44.6,-44.4
Aix-en-Provence,5.44,5.6
Aixe-sur-Vienne,1.13,1.23
Aix-les-Bains,5.91,6.08
Aiyomojok,8.98,9.02
Āīzawl,92.72,92.75
Aizenay,-1.6,-1.55
Aizkraukle,25.25,25.34
Aizoáin,-1.63,-1.44
Aizpute,21.6,21.76
Ajaccio,8.73,8.76
Ajacuba,-99.11,-99.07
Ajax,-79.03,-78.84
Ajdābiyā,20.22,20.3
Ajdir,-3.91,-3.71
Ajdovščina,13.9,14.03
Aj Jourf,-4.4,-4.3
Ajka,17.55,17.58
‘Ajlūn,35.75,35.77
‘Ajmān,55.47,55.58
Ajmer,74.63,74.64
Ajuricaba,-53.77,-53.74
Ajuy,123.01,123.09
Akabira,142.04,142.22
Akarma,-7.65,-7.47
Akat Amnuai,103.98,104.04
Akbarābād,52.77,52.95
Akbou,4.53,4.54
Akçakale,38.94,39.11
Ak-Dovurak,90.6,90.74
Aketi,23.78,23.8
Akhalkalaki,43.48,43.6
Akhaltsikhe,42.98,43.16
Akhmeta,45.2,45.38
Akhmīm,31.74,31.78
Akhtubinsk,46.16,46.34
Akhty,47.74,47.92
Akhuryan,43.9,43.9
Akil,-89.34,-89.31
Akiruno,139.29,139.37
Akishima,139.35,139.35
Akita,140.1,140.14
Akjoujt,-14.39,-14.29
Akka,-8.25,-8.05
Akka Irene,-7.53,-7.42
‘Akko,35.08,35.21
Aklim,-2.43,-2.34
Aknīste,25.74,25.8
Akola,77.0,77.09
Ak’ordat,37.88,37.91
Akouda,10.57,10.66
Akranes,-22.1,-22.0
Åkrehamn,5.18,5.33
Akron,-81.52,-81.46
Aksakovo,27.81,27.92
Aksaray,34.02,34.04
Aksay,39.86,40.04
Aksu,80.25,80.28
Āksum,38.71,38.9
Akto,75.94,76.01
Akure,5.19,5.38
Akureyri,-18.1,-18.03
Akyaka,43.62,43.76
Akyar,58.21,58.36
Ala,11.0,11.18
Al Aaroui,-3.0,-2.82
Alabaster,-86.82,-86.67
Alabat,122.01,122.11
Alabel,125.28,125.38
Alachua,-82.48,-82.28
Alacuás,-0.46,-0.45
Alafaya,-81.18,-81.03
Alagir,44.21,44.35
Alagoa Grande,-35.59,-35.41
Alagoinha,-36.77,-36.69
Alagoinhas,-38.41,-38.36
Al Aḩmadī,48.08,48.22
Alajärvi,23.81,23.97
Alajuela,-84.21,-84.19
Alajuelita,-84.09,-83.95
Al ‘Alamayn,28.95,29.12
Alamada,124.55,124.72
Al ‘Amādīyah,43.48,43.54
Al ‘Amārah,47.15,47.31
Alambari,-47.88,-47.78
Alameda,-122.26,-122.17
Alamedin,74.63,74.81
Alaminos,119.98,120.17
Alamo,-98.11,-97.92
Álamo,-97.67,-97.6
Alamogordo,-105.96,-105.95
Alamo Heights,-98.46,-98.27
Álamos,-108.94,-108.9
Alamosa,-105.87,-105.68
Alandroal,-7.4,-7.26
Alangalang,124.85,124.87
Alanya,31.99,32.0
Alapayevsk,61.7,61.79
Al ‘Aqabah,35.0,35.13
Al ‘Arīsh,33.8,33.88
Alaró,2.79,2.82
Alashankou,82.57,82.7
Alassio,8.17,8.18
Al Atārib,36.83,36.96
Alatri,13.34,13.35
Alatyr,46.58,46.71
Alausí,-78.84,-78.71
Alaverdi,44.65,44.81
‘Alavīcheh,51.08,51.18
Alavus,23.61,23.79
Al ‘Ayn,55.74,55.93
Alayor,4.13,4.28
Al ‘Azīzīyah,13.01,13.14
Alba,8.02,8.13
Albacete,-1.85,-1.75
Al Bāḩah,41.46,41.54
Albaida,-0.51,-0.31
Alba Iulia,23.57,23.7
Albal,-0.41,-0.29
Al Balyanā,31.99,32.02
Albán,-74.43,-74.23
Albanella,15.11,15.13
Albano Laziale,12.66,12.85
Albano Sant’Alessandro,9.76,9.95
Albany,-73.79,-73.64
Albaredo d’Adige,11.26,11.35
Albarradas,-96.2,-96.08
Al Başrah,47.81,47.94
Albatera,-0.86,-0.82
Al Bayḑā’,21.75,21.84
Albbruck,8.12,8.18
Albemarle,-80.19,-80.03
Albenga,8.21,8.28
Albergaria-a-Velha,-8.48,-8.36
Alberique,-0.52,-0.42
Alberobello,17.23,17.3
Albert,2.65,2.78
Albertirsa,19.6,19.68
Albert Lea,-93.36,-93.16
Alberton,28.12,28.3
Albertson,-73.64,-73.5
Albertville,-86.21,-86.02
Albi,2.14,2.25
Albiate,9.25,9.4
Albignasego,11.86,11.97
Albina,-54.05,-53.92
Albinea,10.6,10.65
Albino,9.79,9.97
Albion,-84.75,-84.66
Albisola Marina,8.5,8.52
Albizzate,8.8,8.96
Albolote,-3.65,-3.5
Alboraya,-0.35,-0.3
Albox,-2.13,-2.04
Al Brouj,-7.2,-7.16
Albstadt,9.02,9.11
Albuera,124.69,124.85
Ālbū Kamāl,40.91,40.98
Albuñol,-3.2,-3.16
Albuquerque,-106.64,-106.57
Al Buraymī,55.8,55.91
Alburquerque,123.95,124.12
Albury,146.91,147.04
Alcácer do Sal,-8.51,-8.37
Alcala,120.52,120.64
Alcalá,-75.78,-75.7
Alcalá de Chivert,0.22,0.4
Alcalá de Guadaira,-5.85,-5.74
Alcalá de los Gazules,-5.71,-5.56
Alcalá del Valle,-5.16,-4.96
Alcalá la Real,-3.91,-3.77
Alcamo,12.96,13.11
Alcanar,0.48,0.56
Alcañiz,-0.13,-0.01
Alcantara,122.05,122.21
Alcântara,-44.41,-44.28
Alcântaras,-40.54,-40.52
Alcantarilla,-1.2,-1.07
Alcantil,-36.05,-35.98
Alcarraz,0.52,0.71
Alcaudete,-4.09,-4.06
Alcázar de San Juan,-3.2,-3.09
Alcester,-1.87,-1.76
Alchevsk,38.79,38.9
Alcira,-0.43,-0.28
Alcoa,-83.97,-83.91
Alcobaça,-39.19,-38.99
Alcochete,-8.96,-8.93
Alcora,-0.2,-0.08
Alcorcón,-3.83,-3.72
Alcover,1.17,1.31
Alcoy,-0.47,-0.28
Alcudia,3.11,3.3
Alcudia de Carlet,-0.5,-0.4
Alcudia de Crespins,-0.59,-0.41
Aldama,-105.91,-105.89
Aldan,125.38,125.44
Aldaya,-0.46,-0.26
Aldeamayor de San Martín,-4.63,-4.57
Aldeias Altas,-43.47,-43.27
Alden,-78.52,-78.45
Aldenham,-0.35,-0.16
Aldenhoven,6.28,6.4
Aldershot,-0.75,-0.55
Alderwood Manor,-122.26,-122.21
Aldine,-95.37,-95.32
Aldingen,8.7,8.88
Aldo Bonzi,-58.51,-58.48
Aldridge,-1.91,-1.74
Alebtong,33.25,33.42
Alecrim,-54.76,-54.61
Aledo,-97.6,-97.47
Aleg,-13.9,-13.78
Alegre,-41.51,-41.35
Alegrete,-55.79,-55.64
Alegria,123.34,123.35
Aleksandrov,38.71,38.86
Aleksandrovac,21.05,21.05
Aleksandrov Gay,48.55,48.65
Aleksandrovsk,57.58,57.74
Aleksandrovskoye,77.86,77.88
Aleksandrovsk-Sakhalinskiy,142.15,142.17
Aleksandrów Kujawski,18.7,18.89
Alekseyevka,38.68,38.79
Aleksin,37.06,37.21
Aleksinac,21.7,21.76
Alella,2.29,2.3
Além Paraíba,-42.7,-42.67
Alençon,0.09,0.28
Alenquer,-54.73,-54.59
Aleppo,37.15,37.29
Alerce,-72.9,-72.81
Alès,4.08,4.15
Aleşd,22.39,22.47
Alessandria,8.61,8.66
Alessano,18.33,18.4
Ålesund,6.15,6.25
Alexander Bay,16.5,16.5
Alexander City,-85.93,-85.73
Alexandra,169.37,169.54
Alexándreia,22.44,22.54
Alexandria,29.91,29.91
Alexandroúpoli,25.86,26.03
Alexânia,-48.5,-48.44
Aleysk,82.78,82.83
Alezio,18.05,18.08
Alfacar,-3.56,-3.4
Alfafar,-0.39,-0.32
Alfajayucan,-99.35,-99.22
Al Fallūjah,43.78,43.94
Alfândega da Fé,-6.96,-6.89
Alfaro,-1.74,-1.57
Al Fāw,48.47,48.65
Al Fayd,-8.21,-8.17
Al Fayyūm,30.83,30.85
Alfdorf,9.71,9.82
Alfeld,9.82,10.0
Alfena,-8.52,-8.46
Alfenas,-45.94,-45.85
Alfonsine,12.04,12.04
Alfonso,120.85,120.95
Alfonso Castañeda,121.3,121.35
Alfortville,2.42,2.6
Al Fqih Ben Çalah,-6.7,-6.54
Alfred,-77.78,-77.63
Alfred and Plantagenet,-74.91,-74.71
Alfredo Chaves,-40.75,-40.7
Alfredo Wagner,-49.33,-49.27
Alfreton,-1.38,-1.26
Alfter,7.0,7.14
Al Fujayrah,56.33,56.52
Alga,57.33,57.41
Algaida,2.89,3.08
Algarrobo,-4.03,-3.94
Algeciras,-5.45,-5.38
Algemesí,-0.43,-0.35
Algermissen,9.97,10.02
Algeti,44.89,44.98
Al Ghardaqah,33.81,33.89
Al Ghayz̧ah,52.16,52.28
Alghero,8.31,8.36
Algiers,3.05,3.07
Alginet,-0.46,-0.32
Algodonales,-5.4,-5.38
Algodones,-114.72,-114.61
Algona,-94.23,-94.15
Algonquin,-88.31,-88.26
Algrange,6.04,6.08
Alguazas,-1.24,-1.08
Al Ḩajar al Aswad,36.3,36.37
Alhama de Granada,-3.98,-3.95
Alhama de Murcia,-1.42,-1.37
Alhambra,-118.13,-117.99
Alhandra,-34.91,-34.74
Al Ḩasakah,40.74,40.81
Alhaurín de la Torre,-4.55,-4.37
Alhaurín el Grande,-4.68,-4.63
Al Ḩawīyah,40.49,40.64
Al Ḩayy,46.04,46.07
Al Ḩazm,44.77,44.89
Alhendín,-3.65,-3.49
Al Ḩībah,30.91,30.95
Al Ḩillah,46.75,46.78
Al Hoceïma,-3.93,-3.87
Al Ḩudaydah,42.95,43.07
Al Hufūf,49.59,49.75
Al Ḩusaynīyah,31.91,32.06
Aliaga,120.84,120.86
Aliağa,26.97,27.15
Aliança,-35.23,-35.15
Aliança do Tocantins,-48.93,-48.83
’Ali Ben Sliman,-7.21,-7.14
Alibunar,20.96,21.12
Alicante,-0.48,-0.32
Alice,-98.06,-97.91
Alice Springs,133.86,133.91
Alicia,121.69,121.77
Alīgarh,78.08,78.14
Alīgūdarz,49.69,49.77
Alijó,-7.47,-7.4
Alilem,120.53,120.53
Alimodian,122.43,122.44
Alīpur Duār,89.56,89.65
Aliquippa,-80.25,-80.15
Ali Sabieh,42.71,42.85
Aliso Viejo,-117.72,-117.61
Alitagtag,121.0,121.12
Aliwal North,26.7,26.78
Al Jabīn,43.59,43.64
Al Jaghbūb,24.51,24.56
Al Jahrā’,47.65,47.77
Aljaraque,-7.01,-6.84
Al Jawf,23.3,23.38
Aljezur,-8.8,-8.75
Al Jubayl,49.64,49.65
Al Kafr,36.64,36.65
Al Karak,35.7,35.86
Al Karnak,32.65,32.74
Alkhan-Kala,45.53,45.72
Alkhan-Yurt,45.57,45.57
Al Kharj,47.31,47.35
Al Khārjah,30.55,30.61
Al Khawr,51.51,51.64
Alkhazurovo,45.65,45.83
Al Khmissat,-6.06,-6.02
Al Khubar,50.21,50.37
Al Khums,14.26,14.45
Al Kilābīyah,49.6,49.72
Alkoven,14.1,14.29
Al Kūfah,44.4,44.58
Al Kufrah,23.26,23.34
Al Kūt,45.83,45.93
Allacapan,121.55,121.57
Allahābād,81.84,81.95
Allanmyo,95.22,95.35
Allariz,-7.8,-7.71
Al Laţāminah,36.62,36.74
Allauch,5.48,5.56
Allegan,-85.84,-85.77
Allegany,-78.52,-78.42
Allegheny,-79.64,-79.46
Allen,-96.67,-96.64
Allendale,-85.95,-85.93
Allende,-100.83,-100.66
Allendorf,8.68,8.74
Allen Park,-83.21,-83.01
Allensbach,9.07,9.23
Allentown,-75.47,-75.27
Alleppey,76.37,76.38
Alleroy,46.28,46.28
Allersberg,11.23,11.42
Allershausen,11.59,11.6
Allestree,-1.48,-1.41
Alliance,-81.11,-80.97
Allington,0.5,0.57
Allison Park,-79.96,-79.83
Alliste,18.08,18.17
Alloa,-3.79,-3.63
Allonnes,0.16,0.22
Allouez,-88.02,-87.95
Allschwil,7.53,7.69
Allstedt,11.38,11.42
Alma,-71.65,-71.58
Almacellas,0.43,0.61
Almácera,-0.35,-0.17
Almada,-9.15,-9.06
Al Madāmūd,32.71,32.84
Almadén,-4.83,-4.75
Almadina,-39.63,-39.57
Al Madrah Samā’il,57.97,58.02
Al Mafraq,36.23,36.3
Almagro,124.28,124.35
Almaguer,-76.85,-76.79
Al Maḩallah al Kubrá,31.16,31.28
Al Maḩwīt,43.54,43.67
Al Majma‘ah,45.34,45.46
Al Mālikīyah,42.14,42.25
Al Manāqil,32.97,33.16
Almansa,-1.09,-1.04
Al Manşūrah,31.38,31.45
Almargem,-9.27,-9.18
Al Marj,20.83,20.94
Almas,-47.17,-47.12
Almaty,76.9,76.95
Al Mayādīn,40.45,40.56
Almazán,-2.53,-2.5
Al M’aziz,-6.34,-6.18
Almazora,-0.06,0.09
Al Mazra‘ah,36.48,36.5
Almè,9.61,9.78
Almeida,-6.9,-6.76
Almeirim,-52.58,-52.52
Almenara,-40.7,-40.5
Almendralejo,-6.41,-6.25
Almenno San Bartolomeo,9.57,9.73
Almenno San Salvatore,9.58,9.67
Almensilla,-6.11,-5.96
Almere,5.22,5.25
Almeria,124.37,124.47
Almería,-2.46,-2.44
Almese,7.4,7.53
Almetyevsk,52.3,52.44
Al Mijlad,27.73,27.75
Al Minyā,30.75,30.78
Almirante,-82.4,-82.32
